Fecha del pedido,País,Total,Ganancia
17/08/2015,Cuba,1580,204.8
10/11/2018,El Salvador,412,57
10/11/2018,El Salvador,437,122
25/05/2016,México,636.48,84.48
31/01/2017,Argentina,2497.2,-333.8
31/01/2017,Argentina,91.44,-1.76
31/01/2017,Argentina,97.44,-6.56
26/09/2018,Cuba,1888.4,415.2
04/08/2016,México,1196.4,310.8
04/08/2016,México,1615.9616,304.3616
23/05/2016,Brasil,518,0
22/06/2015,México,2645.12,131.52
22/06/2015,México,510.8,142.8
22/06/2015,México,1106.4,376
19/11/2016,México,1188,148.2
05/07/2017,Chile,1234.8,418.6
01/11/2017,Venezuela,2464.8,-370.2
13/08/2017,México,2853.76,-178.44
13/10/2016,Guatemala,176.4,3.2
21/12/2016,México,771,200.4
21/07/2018,Brasil,6073.6,1336
21/07/2018,Brasil,924,452
21/07/2018,Brasil,268.2,2.4
02/04/2018,Argentina,34.32,-49.28
02/04/2018,Argentina,433.68,-224.32
21/11/2018,México,537,144
03/09/2018,Honduras,1028.4,-34.6
03/09/2018,Honduras,290.16,-63.04
22/04/2015,Haití,5515.56,-1011.24
06/09/2017,El Salvador,1051.2,83.2
06/09/2017,El Salvador,1269.6,608.8
08/10/2015,Brasil,326.8,62
05/07/2016,Brasil,34080,2385.6
20/11/2018,Brasil,149.52,-224.28
13/09/2018,El Salvador,903,36
27/11/2016,Cuba,1374.4,356.8
17/04/2018,Brasil,315.36,-410.64
22/01/2017,México,640,32
22/01/2017,México,3188.16,1115.76
22/01/2017,México,3339.6,133.2
22/01/2017,México,10225.28,3322.88
29/01/2015,Venezuela,3694.68,-5911.72
24/03/2017,El Salvador,152.4,59.2
24/03/2017,El Salvador,1611,660
12/04/2017,Argentina,1611,26
19/02/2017,Brasil,19704.96,492.16
03/09/2017,Chile,1305.6,313.2
05/04/2016,México,7014.7424,3007.5424
05/04/2016,México,185.4,29.4
05/04/2016,México,157,29.8
11/02/2016,Cuba,1232.4,332.4
05/11/2017,Argentina,995.28,132.48
11/12/2017,Honduras,4135.2,-896.8
01/11/2016,Brasil,232.96,-75.84
01/11/2016,Brasil,180.4,-54.6
16/10/2018,México,982.2,353.4
16/10/2018,México,464.4,185.4
01/11/2018,Colombia,691.8,214.4
01/11/2018,Colombia,658.4,151.2
27/06/2017,El Salvador,1806,72
27/06/2017,El Salvador,1992.8,896.4
15/09/2015,México,960.64,108.04
15/09/2015,México,1166.4,0
15/09/2015,México,323,138.8
15/09/2015,México,2679.6,159.6
26/09/2018,Panamá,285.84,-129.36
26/09/2018,Panamá,408.72,-265.68
26/09/2018,Panamá,825.48,-275.52
26/09/2018,Panamá,214.56,-139.84
28/10/2018,Nicaragua,16009.6,3681.6
28/10/2018,Nicaragua,3033,424
28/10/2018,Nicaragua,537,134
18/04/2016,Venezuela,609.6,-386.4
24/06/2015,Honduras,538.2,-36.8
08/12/2018,Nicaragua,349.2,73.2
24/07/2018,El Salvador,379,26
16/11/2015,México,159,34.8
16/11/2015,México,53.2,18
16/11/2015,México,771.6,347.2
28/12/2018,Haití,318.48,-63.92
05/06/2017,Guatemala,86,36
05/06/2017,Guatemala,1280,64
05/06/2017,Guatemala,891.6,312
17/03/2016,Panamá,301.44,-90.56
19/10/2015,Brasil,766.8,343.8
19/10/2015,Brasil,654.8,235.6
16/07/2018,México,7189.7916,993.5916
06/11/2017,Guatemala,2959.2,1330.2
24/10/2017,Honduras,651.36,-217.44
24/10/2017,Honduras,1778.88,-385.92
26/07/2017,Argentina,2384.824,-248.176
04/05/2017,Brasil,147.6,33.6
04/05/2017,Brasil,2256,428.4
04/05/2017,Brasil,2597.4,207.6
25/12/2015,México,134.4,24
17/03/2016,Brasil,758,113.6
17/03/2016,Brasil,2319,394
17/03/2016,Brasil,14548.32,-545.88
29/12/2018,México,544.8,103.2
29/12/2018,México,3288,1478
15/09/2015,Honduras,7233.24,-2773.96
15/09/2015,Honduras,1984.32,99.12
03/03/2016,Brasil,215.4,105
12/06/2018,Venezuela,19.56,-4.24
12/06/2018,Venezuela,2090.1296,-77.0704
12/06/2018,Venezuela,1546.56,-51.84
12/06/2018,Venezuela,988.08,49.28
12/06/2018,Venezuela,496.2,-314.8
12/06/2018,Venezuela,226.8,-91.2
29/06/2017,Perú,1895.22,-4359.18
29/06/2017,Perú,278.64,-0.36
29/06/2017,Perú,92.16,-12.64
29/06/2017,Perú,168.84,5.04
25/10/2016,Nicaragua,819,327.6
25/10/2016,Nicaragua,185.2,83.2
25/10/2016,Nicaragua,8207,3529
25/10/2016,Nicaragua,101.6,40.4
16/08/2017,Brasil,3949.2,513
16/08/2017,Brasil,2440,561
25/05/2017,Venezuela,1483.44,-74.76
10/11/2017,Honduras,389.04,-168.96
10/11/2017,Honduras,3004.8304,-1165.9696
10/11/2017,Honduras,7131.5088,-2648.4912
20/08/2018,México,730.2,145.8
20/08/2018,México,11684,3067
20/08/2018,México,1112.2,11
20/08/2018,México,2734.72,957.12
20/08/2018,México,190.8,-121.2
26/08/2016,República Dominicana,1272,318
26/08/2016,República Dominicana,1050.88,394.08
29/11/2016,México,2287.8,114
10/09/2015,Brasil,13692,6709
10/09/2015,Brasil,1979.2,455.2
10/09/2015,Brasil,1445.6,129.6
16/05/2016,México,320,51.2
22/06/2016,Perú,1137.6,-512.4
22/06/2016,Perú,621.36,-393.84
22/06/2016,Perú,230.76,-38.64
09/03/2015,Panamá,1435.2,91.2
08/06/2015,Colombia,1723,844
21/10/2015,México,123.2,14.4
23/08/2017,México,1961,411
26/11/2018,Guatemala,2621.4,52.2
22/09/2016,República Dominicana,522.24,182.64
22/09/2016,República Dominicana,260.8,55.2
22/09/2016,República Dominicana,1369.368,-37.832
22/09/2016,República Dominicana,349.6,-87.4
22/09/2016,República Dominicana,6594.24,-2198.56
22/09/2016,República Dominicana,48.32,12.32
26/05/2018,Colombia,232.8,18.6
30/05/2018,México,2194.56,246.36
30/05/2018,México,302.4,117.6
30/05/2018,México,520,161.2
06/07/2017,República Dominicana,5541.6,-1247.4
16/04/2015,México,990,138
27/03/2018,Chile,4578,549
27/03/2018,Chile,365,135
06/05/2018,República Dominicana,54.88,-4.12
22/11/2016,México,1325.52,153.72
12/12/2017,Bolivia,1380.8,455.2
12/12/2017,Bolivia,10353,3520
09/12/2018,El Salvador,473.6,0
09/12/2018,El Salvador,1822.4,218.4
24/11/2018,Argentina,36.24,-35.76
24/11/2018,Argentina,4029.6,-7253.6
08/06/2016,Uruguay,123.2,14.4
08/06/2016,Uruguay,4260.4,1746.6
29/08/2017,El Salvador,1245,373
29/08/2017,El Salvador,669.6,207.2
13/09/2017,Argentina,687.96,-458.64
18/04/2016,Argentina,239.28,-399.12
05/06/2018,Guatemala,670.8,100.4
13/10/2018,Cuba,152.8,19.6
17/10/2018,Martinica,2436,1022
17/10/2018,Martinica,174.8,0
17/10/2018,Martinica,5160,1754.4
17/10/2018,Martinica,17737.2,2127.6
30/12/2016,Brasil,172.8,60
14/12/2017,México,680.76,-227.04
06/06/2017,México,391.44,45.44
06/06/2017,México,625,268
27/06/2018,Honduras,236.16,-0.64
27/06/2018,Honduras,120.12,15.92
18/06/2017,Panamá,192,12.8
14/09/2016,México,2214,487
05/12/2016,Honduras,985.92,-148.08
07/05/2017,El Salvador,9875.6,295.4
19/07/2017,El Salvador,1191.6,154.8
19/07/2017,El Salvador,907.6,380.8
23/06/2015,Argentina,1822.14,-2673.06
23/06/2015,Argentina,17.88,-28.72
20/09/2017,México,8702.4,2958.8
20/09/2017,México,1136.8,544.6
14/09/2016,Brasil,10119.72,587.72
02/10/2017,Nicaragua,378.2,75.6
02/10/2017,Nicaragua,4242,1357.2
29/12/2017,Colombia,963,38
26/11/2015,El Salvador,1568.8,328.8
26/11/2015,El Salvador,39.4,7.4
30/07/2016,Brasil,339.6,57.6
30/07/2016,Brasil,88.6,12.4
21/06/2016,México,1993.92,-374.88
21/06/2016,México,495.6,128.4
21/06/2016,México,333,166.2
17/09/2018,México,4631.04,925.44
17/09/2018,México,4477.4272,1785.4272
22/10/2015,México,231,13.8
22/10/2015,México,192,45.6
02/12/2018,Cuba,5759.2584,2353.6584
02/12/2018,Cuba,1955.2816,132.8816
29/08/2018,Colombia,924,341.4
29/08/2018,Colombia,23206.4,-2030.6
03/08/2015,Honduras,132.96,4.16
04/08/2018,México,354.4,0
04/08/2018,México,969,416.4
04/08/2018,México,906.24,-181.36
23/06/2015,Brasil,668.8,327.6
18/10/2018,Colombia,298.8,134.4
09/05/2016,Guatemala,4850,2424.8
09/05/2016,Guatemala,1436.16,-197.64
09/05/2016,Guatemala,911,45.4
12/10/2017,El Salvador,516.6,226.8
09/06/2016,Brasil,325,136
11/06/2015,Brasil,3363.6,369.6
05/08/2018,México,413.6,111.2
03/10/2018,Guatemala,1570,188
03/10/2018,Guatemala,2463,393.6
21/07/2017,Colombia,208,78.4
21/07/2017,Colombia,985,492
21/07/2017,Colombia,1831.2,219.6
21/07/2017,Colombia,740.8,332.8
21/07/2017,Colombia,1402.4,658.4
21/07/2017,Colombia,18697.2,2055.6
21/07/2017,Colombia,252.4,103.2
18/09/2016,México,198.8,97.2
13/12/2018,Honduras,82.08,-23.52
13/12/2018,Honduras,1777.92,-948.48
17/05/2017,República Dominicana,5012.48,375.68
12/09/2016,República Dominicana,879.36,252.36
12/09/2016,República Dominicana,314.56,90.16
15/11/2016,Brasil,3589.6,1040.8
10/10/2018,Honduras,325.08,-135.72
06/11/2017,México,146,56.8
06/11/2017,México,783,133
06/11/2017,México,88.8,37.2
12/11/2015,Chile,784.4,86
08/11/2017,México,2294.4,0
08/11/2017,México,551.36,199.76
29/12/2015,Cuba,477,219.4
20/11/2018,Honduras,648,-356.4
24/04/2016,Cuba,1834.2,201.6
24/04/2016,Cuba,12196.1588,2663.5588
23/11/2015,República Dominicana,11242.56,2528.96
29/06/2017,Colombia,630.4,226.8
29/06/2017,Colombia,704.8,176
27/09/2018,Panamá,8265.6,-3031.4
27/09/2018,Panamá,1355.76,157.36
29/10/2018,Honduras,101.88,-27.72
21/04/2016,México,1982.4,-173.6
25/09/2016,Nicaragua,2025.6,952
25/09/2016,Nicaragua,1027.2,81.6
25/09/2016,Nicaragua,20143.632,4198.032
25/09/2016,Nicaragua,1633.8,751.2
29/12/2016,Brasil,1446.8,130
29/12/2016,Brasil,6873.6,2611.2
30/10/2018,Cuba,7588.5924,212.7924
30/10/2018,Cuba,226,74.4
30/10/2018,Cuba,1632,456
30/10/2018,Cuba,827,16
03/04/2018,Panamá,787.2,-236.8
03/04/2018,Panamá,765,-51
03/04/2018,Panamá,133.2,4.2
20/09/2015,Nicaragua,3322.8,33
14/10/2015,México,1070.72,-214.48
14/10/2015,México,409.6,44.8
14/10/2015,México,6350.8728,2023.0728
01/03/2016,El Salvador,45.2,11.2
23/07/2017,Brasil,3083.4,892.8
23/07/2017,Brasil,1528.8,0
23/07/2017,Brasil,489,180.6
20/06/2017,Cuba,1986.4,516.4
11/06/2018,Cuba,4472,1475
09/05/2018,El Salvador,741.6,36
09/05/2018,El Salvador,6796.8,1902.6
20/12/2017,Guatemala,4815.2,1008.8
20/12/2017,Guatemala,505,151
20/12/2017,Guatemala,1616,711
12/12/2016,Brasil,1005.4,180.8
12/12/2016,Brasil,3478.8,973.8
12/12/2016,Brasil,3416,888
12/12/2016,Brasil,1732,710
12/12/2016,Brasil,186,61.2
12/12/2016,Brasil,13248.8,4239.2
12/12/2016,Brasil,17618.692,5260.892
03/10/2017,Honduras,1224,-245
03/10/2017,Honduras,1194.72,-358.48
02/08/2017,México,609,157.8
02/08/2017,México,924.48,288.48
25/12/2017,Uruguay,408,0
25/10/2018,Honduras,174.84,-116.56
26/11/2017,Panamá,245.28,-114.72
26/11/2017,Panamá,459.12,-268.08
31/05/2015,México,222.6,93
31/05/2015,México,2319.36,231.36
21/08/2016,México,22760.388,5426.388
09/01/2017,Guatemala,819.6,319.2
04/12/2018,México,151.44,-15.36
04/12/2018,México,606,181.2
04/12/2018,México,156.8,70.4
04/12/2018,México,3452.8,1173.6
04/12/2018,México,1831.36,480.56
04/12/2018,México,592.2,289.8
21/04/2015,Nicaragua,204.4,24.4
17/10/2017,Brasil,1701.12,-852.48
17/10/2017,Brasil,2197.92,-1264.08
18/01/2018,Cuba,840.6,184.8
18/01/2018,Cuba,443.4,106.2
18/01/2018,Cuba,2314.4,393.2
28/04/2018,México,4128.96,206.16
23/06/2018,Honduras,830.16,-124.64
23/06/2018,Honduras,667.2,-256
18/07/2017,Guatemala,343,48
31/08/2016,Nicaragua,175.2,38.4
01/12/2016,El Salvador,1488,357
16/01/2018,Nicaragua,3438,1065.6
16/01/2018,Nicaragua,2252.4,585.6
20/12/2016,Brasil,3783.2184,1659.8184
20/12/2016,Brasil,472.2,226.2
06/12/2017,El Salvador,1029,277.2
12/06/2017,México,10156.8,1015.2
29/09/2015,El Salvador,368.4,128.8
29/09/2015,El Salvador,4771.2384,1472.4384
29/09/2015,El Salvador,5063.8,455
29/09/2015,El Salvador,23252.8,5115.2
29/09/2015,El Salvador,1938,735.6
29/09/2015,El Salvador,1372.2,644.4
29/09/2015,El Salvador,31.8,14.2
29/09/2015,El Salvador,538.4,241.6
29/09/2015,El Salvador,45,21.6
10/04/2018,Nicaragua,800,344
25/03/2018,Panamá,3324.96,-2106.24
25/03/2018,Panamá,4886.258,-1650.742
02/04/2015,Perú,87.84,-48.36
02/04/2015,Perú,1215,-486
02/04/2015,Perú,1386.96,-254.64
02/04/2015,Perú,449.4,7.4
02/04/2015,Perú,800.64,-533.76
02/04/2015,Perú,201.12,-16.88
02/04/2015,Perú,676.08,-293.52
05/12/2016,Nicaragua,402.6,80.4
25/04/2018,República Dominicana,176.32,59.12
25/04/2018,República Dominicana,298.08,-367.92
25/04/2018,República Dominicana,1780.8,-445.2
17/11/2018,Honduras,94.56,-42.64
17/11/2018,Honduras,98.88,-43.12
16/05/2018,Brasil,1837.2,753.2
01/12/2018,Guatemala,57.6,0
01/12/2018,Guatemala,2457,982.8
01/12/2018,Guatemala,400,96
01/12/2018,Guatemala,238.8,13.8
01/12/2018,Guatemala,323,122.6
07/05/2018,México,1304.4,286.8
28/06/2015,Cuba,363,119
23/10/2018,Guatemala,1292.2,102.2
10/12/2018,México,928.2,0
10/12/2018,México,34453.44,-7753.76
05/06/2016,Brasil,2923.4,467.6
05/06/2016,Brasil,443.4,137.4
05/06/2016,Brasil,198.8,97.2
19/06/2017,México,7049.2,1903.2
17/08/2015,República Dominicana,1055.2,-26.8
17/08/2015,República Dominicana,1482.24,128.64
24/04/2017,Guatemala,7525.1196,1342.1196
24/04/2017,Guatemala,812,210.4
24/04/2017,Guatemala,8820.324,1483.524
21/05/2015,El Salvador,1296.8,180.8
21/05/2015,El Salvador,184,53.2
21/05/2015,El Salvador,6608,65.8
21/05/2015,El Salvador,268.8,120.6
19/09/2018,México,567.36,-38.04
12/05/2018,Panamá,249.84,-16.96
17/12/2018,Brasil,95.2,29.4
31/05/2017,México,3698.4,258.6
31/05/2017,México,1325.8,569.8
08/04/2016,México,680.76,-227.04
08/04/2016,México,947.2,378.8
25/11/2018,Brasil,2212,597.2
08/06/2015,Panamá,2055.24,68.04
26/01/2016,Chile,7956,1909.2
26/01/2016,Chile,1425.6,14
11/09/2017,Haití,424.08,-240.32
11/09/2017,Haití,2076.9736,62.1736
12/09/2018,República Dominicana,2048.3064,405.5064
30/06/2016,México,4611.04,1325.24
30/06/2016,México,202.32,-131.68
29/08/2018,Brasil,30448,912
29/08/2018,Brasil,7835.4976,3124.4976
29/08/2018,Brasil,484,67
28/10/2018,México,2216.2,974.4
28/10/2018,México,428.4,-221.6
23/12/2018,Nicaragua,260,62.4
23/12/2018,Nicaragua,268.8,120.6
19/01/2018,Colombia,8405.6,2437.4
19/01/2018,Colombia,148.2,28
03/04/2018,Honduras,200.64,-30.16
03/04/2018,Honduras,2671.2,-1780.8
03/04/2018,Honduras,326.4,-179.6
16/04/2017,Perú,651,-380.8
16/04/2017,Perú,1213.2,-404.4
16/04/2017,Perú,976.32,-569.68
16/04/2017,Perú,1575.84,-157.76
16/04/2017,Perú,213.12,-0.08
16/04/2017,Perú,449.28,-8.32
16/04/2017,Perú,86.16,12.56
21/03/2016,Colombia,3819.1464,795.7464
25/04/2018,México,1074,288
13/03/2016,Brasil,4000.32,-2801.88
13/03/2016,Brasil,5001.666,-5303.334
02/12/2015,Honduras,648.24,-162.16
26/06/2018,México,4840.3,475.3
26/06/2018,México,292.8,114
16/10/2016,Colombia,1054,158
08/11/2017,El Salvador,232,76
13/11/2017,Cuba,1709.6,700.8
13/11/2017,Cuba,747.2,36.8
27/03/2016,Honduras,2351.16,-274.44
27/03/2016,Honduras,597.6,-100
27/03/2016,Honduras,387.36,-103.44
27/03/2016,Honduras,3111.36,-1659.84
27/03/2016,Honduras,376.2,-131.8
11/07/2018,El Salvador,3596.48,1258.48
28/10/2017,Honduras,257.04,-171.36
11/09/2016,México,349.8,90.6
24/10/2018,México,2016.48,554.28
29/09/2016,Guatemala,576,172.8
29/09/2016,Guatemala,254,4.8
17/12/2017,El Salvador,9632,4237.8
10/09/2016,El Salvador,1672.8,100.2
10/09/2016,El Salvador,5131.2,1128.6
05/11/2018,Nicaragua,2399.6,911.4
05/11/2018,Nicaragua,10536.884,4412.884
05/11/2018,Nicaragua,303,21
31/10/2017,México,43.2,20.6
31/10/2017,México,960.64,108.04
19/10/2017,El Salvador,1277,357
19/10/2017,El Salvador,86.4,31.8
19/10/2017,El Salvador,21208,2757
01/10/2015,México,69.84,-9.36
01/10/2015,México,803.6,30.8
15/11/2017,Brasil,107.6,41.6
28/11/2017,México,1517.6,758.4
28/11/2017,México,337.2,90.6
24/06/2018,Venezuela,90.6,0.6
24/06/2018,Venezuela,2477.514,156.514
24/06/2018,Venezuela,236.16,-8.04
12/11/2018,México,1557,622
26/06/2016,México,1692.8,592.4
17/07/2017,México,186.4,27.6
17/07/2017,México,167.2,14.8
17/07/2017,México,1155,508
04/10/2016,México,1132,124
04/10/2016,México,1084.8,216.6
